['320193', 'APPLE COMPUTER INC', '10-Q', '1994-01-26', 'edgar/data/320193/0000320193-94-000002.txt', 'edgar/data/320193/0000320193-94-000002-index.html']
['320193', 'APPLE COMPUTER INC', '424B5', '1994-01-26', 'edgar/data/320193/0000891618-94-000021.txt', 'edgar/data/320193/0000891618-94-000021-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '1994-02-10', 'edgar/data/320193/0000950150-94-000252.txt', 'edgar/data/320193/0000950150-94-000252-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '1994-02-17', 'edgar/data/320193/0000918983-94-000004.txt', 'edgar/data/320193/0000918983-94-000004-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '1994-03-08', 'edgar/data/320193/0000950150-94-000392.txt', 'edgar/data/320193/0000950150-94-000392-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G', '1994-02-18', 'edgar/data/320193/0000918983-94-000005.txt', 'edgar/data/320193/0000918983-94-000005-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '1995-02-09', 'edgar/data/320193/0000320193-95-000003.txt', 'edgar/data/320193/0000320193-95-000003-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13D/A', '1995-01-10', 'edgar/data/320193/0000320193-95-000001.txt', 'edgar/data/320193/0000320193-95-000001-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13D/A', '1995-02-07', 'edgar/data/320193/0000320193-95-000002.txt', 'edgar/data/320193/0000320193-95-000002-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '1995-02-06', 'edgar/data/320193/0000732812-95-000061.txt', 'edgar/data/320193/0000732812-95-000061-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '1995-02-14', 'edgar/data/320193/0000918983-95-000001.txt', 'edgar/data/320193/0000918983-95-000001-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '1995-03-06', 'edgar/data/320193/0000732812-95-000305.txt', 'edgar/data/320193/0000732812-95-000305-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '1995-05-15', 'edgar/data/320193/0000320193-95-000008.txt', 'edgar/data/320193/0000320193-95-000008-index.html']
['320193', 'APPLE COMPUTER INC', 'S-8', '1995-06-16', 'edgar/data/320193/0000320193-95-000009.txt', 'edgar/data/320193/0000320193-95-000009-index.html']
['320193', 'APPLE COMPUTER INC', 'S-8', '1995-06-16', 'edgar/data/320193/0000320193-95-000010.txt', 'edgar/data/320193/0000320193-95-000010-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '1995-08-11', 'edgar/data/320193/0000320193-95-000011.txt', 'edgar/data/320193/0000320193-95-000011-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G', '1995-07-07', 'edgar/data/320193/0000315066-95-002900.txt', 'edgar/data/320193/0000315066-95-002900-index.html']
['320193', 'APPLE COMPUTER INC', '10-K', '1995-12-19', 'edgar/data/320193/0000320193-95-000016.txt', 'edgar/data/320193/0000320193-95-000016-index.html']
['320193', 'APPLE COMPUTER INC', 'DEF 14A', '1995-12-19', 'edgar/data/320193/0000891618-95-000750.txt', 'edgar/data/320193/0000891618-95-000750-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13D/A', '1995-11-13', 'edgar/data/320193/0000320193-95-000012.txt', 'edgar/data/320193/0000320193-95-000012-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13D/A', '1995-12-14', 'edgar/data/320193/0000320193-95-000014.txt', 'edgar/data/320193/0000320193-95-000014-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13D/A', '1995-12-14', 'edgar/data/320193/0000320193-95-000015.txt', 'edgar/data/320193/0000320193-95-000015-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '1995-10-10', 'edgar/data/320193/0000315066-95-003137.txt', 'edgar/data/320193/0000315066-95-003137-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '1996-08-12', 'edgar/data/320193/0000320193-96-000018.txt', 'edgar/data/320193/0000320193-96-000018-index.html']
['320193', 'APPLE COMPUTER INC', 'S-3', '1996-08-28', 'edgar/data/320193/0000912057-96-019063.txt', 'edgar/data/320193/0000912057-96-019063-index.html']
['320193', 'APPLE COMPUTER INC', 'S-8', '1996-07-02', 'edgar/data/320193/0000320193-96-000016.txt', 'edgar/data/320193/0000320193-96-000016-index.html']
['320193', 'APPLE COMPUTER INC/ FA', '8-K', '1997-07-28', 'edgar/data/320193/0000320193-97-000012.txt', 'edgar/data/320193/0000320193-97-000012-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '1997-08-11', 'edgar/data/320193/0000320193-97-000014.txt', 'edgar/data/320193/0000320193-97-000014-index.html']
['320193', 'APPLE COMPUTER INC', '424B3', '1997-09-16', 'edgar/data/320193/0000912057-97-030826.txt', 'edgar/data/320193/0000912057-97-030826-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '1997-09-05', 'edgar/data/320193/0000320193-97-000016.txt', 'edgar/data/320193/0000320193-97-000016-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '1997-09-25', 'edgar/data/320193/0000320193-97-000018.txt', 'edgar/data/320193/0000320193-97-000018-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '1997-09-25', 'edgar/data/320193/0000320193-97-000019.txt', 'edgar/data/320193/0000320193-97-000019-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '2000-05-11', 'edgar/data/320193/0000912057-00-023442.txt', 'edgar/data/320193/0000912057-00-023442-index.html']
['320193', 'APPLE COMPUTER INC', 'S-8', '2000-05-15', 'edgar/data/320193/0000912057-00-024086.txt', 'edgar/data/320193/0000912057-00-024086-index.html']
['320193', 'APPLE COMPUTER INC', '10-K405', '2001-12-21', 'edgar/data/320193/0000912057-01-544436.txt', 'edgar/data/320193/0000912057-01-544436-index.html']
['320193', 'APPLE COMPUTER INC', 'S-8', '2001-12-24', 'edgar/data/320193/0000912057-01-544489.txt', 'edgar/data/320193/0000912057-01-544489-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '2002-02-11', 'edgar/data/320193/0000912057-02-004945.txt', 'edgar/data/320193/0000912057-02-004945-index.html']
['320193', 'APPLE COMPUTER INC', 'DEF 14A', '2002-03-21', 'edgar/data/320193/0000912057-02-010888.txt', 'edgar/data/320193/0000912057-02-010888-index.html']
['320193', 'APPLE COMPUTER INC', 'NO ACT', '2002-02-20', 'edgar/data/320193/9999999997-02-013900.txt', 'edgar/data/320193/9999999997-02-013900-index.html']
['320193', 'APPLE COMPUTER INC', 'NO ACT', '2002-02-26', 'edgar/data/320193/9999999997-02-015426.txt', 'edgar/data/320193/9999999997-02-015426-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '2002-01-28', 'edgar/data/320193/0001089355-02-000112.txt', 'edgar/data/320193/0001089355-02-000112-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G/A', '2002-02-06', 'edgar/data/320193/0000950129-02-000552.txt', 'edgar/data/320193/0000950129-02-000552-index.html']
['320193', 'APPLE COMPUTER INC', 'SC 13G', '2002-02-13', 'edgar/data/320193/0000315066-02-000409.txt', 'edgar/data/320193/0000315066-02-000409-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '2003-05-13', 'edgar/data/320193/0001104659-03-009489.txt', 'edgar/data/320193/0001104659-03-009489-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2003-05-27', 'edgar/data/320193/0001179110-03-001258.txt', 'edgar/data/320193/0001179110-03-001258-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '2003-04-16', 'edgar/data/320193/0001047469-03-013617.txt', 'edgar/data/320193/0001047469-03-013617-index.html']
['320193', 'APPLE COMPUTER INC', 'S-8', '2003-06-24', 'edgar/data/320193/0001047469-03-022132.txt', 'edgar/data/320193/0001047469-03-022132-index.html']
['320193', 'APPLE COMPUTER INC', 'SC TO-I/A', '2003-04-24', 'edgar/data/320193/0001047469-03-014368.txt', 'edgar/data/320193/0001047469-03-014368-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '2003-08-12', 'edgar/data/320193/0001104659-03-017766.txt', 'edgar/data/320193/0001104659-03-017766-index.html']
['320193', 'APPLE COMPUTER INC', '3', '2003-07-11', 'edgar/data/320193/0001181431-03-013739.txt', 'edgar/data/320193/0001181431-03-013739-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2003-09-22', 'edgar/data/320193/0001181431-03-023972.txt', 'edgar/data/320193/0001181431-03-023972-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2003-09-22', 'edgar/data/320193/0001181431-03-023973.txt', 'edgar/data/320193/0001181431-03-023973-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2003-09-29', 'edgar/data/320193/0001181431-03-024715.txt', 'edgar/data/320193/0001181431-03-024715-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '2003-07-16', 'edgar/data/320193/0001104659-03-014913.txt', 'edgar/data/320193/0001104659-03-014913-index.html']
['320193', 'APPLE COMPUTER INC', '10-K', '2003-12-19', 'edgar/data/320193/0001047469-03-041604.txt', 'edgar/data/320193/0001047469-03-041604-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2003-10-23', 'edgar/data/320193/0001181431-03-027338.txt', 'edgar/data/320193/0001181431-03-027338-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '2003-10-15', 'edgar/data/320193/0001104659-03-022879.txt', 'edgar/data/320193/0001104659-03-022879-index.html']
['320193', 'APPLE COMPUTER INC', '10-Q', '2005-05-04', 'edgar/data/320193/0001104659-05-020421.txt', 'edgar/data/320193/0001104659-05-020421-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2005-04-12', 'edgar/data/320193/0001181431-05-021772.txt', 'edgar/data/320193/0001181431-05-021772-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2005-05-26', 'edgar/data/320193/0001181431-05-031098.txt', 'edgar/data/320193/0001181431-05-031098-index.html']
['320193', 'APPLE COMPUTER INC', '4', '2005-06-24', 'edgar/data/320193/0001181431-05-036707.txt', 'edgar/data/320193/0001181431-05-036707-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '2005-04-13', 'edgar/data/320193/0001104659-05-016307.txt', 'edgar/data/320193/0001104659-05-016307-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '2005-04-26', 'edgar/data/320193/0001181431-05-023450.txt', 'edgar/data/320193/0001181431-05-023450-index.html']
['320193', 'APPLE COMPUTER INC', '8-K', '2005-06-06', 'edgar/data/320193/0001181431-05-033177.txt', 'edgar/data/320193/0001181431-05-033177-index.html']
['320193', 'APPLE COMPUTER INC', 'S-8', '2005-05-23', 'edgar/data/320193/0001104659-05-024992.txt', 'edgar/data/320193/0001104659-05-024992-index.html']
['320193', 'APPLE INC', '10-Q', '2007-05-10', 'edgar/data/320193/0001104659-07-037745.txt', 'edgar/data/320193/0001104659-07-037745-index.html']
['320193', 'APPLE INC', '4', '2007-04-30', 'edgar/data/320193/0001181431-07-028215.txt', 'edgar/data/320193/0001181431-07-028215-index.html']
['320193', 'APPLE INC', '4', '2007-05-02', 'edgar/data/320193/0001181431-07-029113.txt', 'edgar/data/320193/0001181431-07-029113-index.html']
['320193', 'APPLE INC', '4', '2007-05-29', 'edgar/data/320193/0001181431-07-035999.txt', 'edgar/data/320193/0001181431-07-035999-index.html']
['320193', 'APPLE INC', '8-K', '2007-04-24', 'edgar/data/320193/0001104659-07-030938.txt', 'edgar/data/320193/0001104659-07-030938-index.html']
['320193', 'APPLE INC', '8-K', '2007-04-25', 'edgar/data/320193/0001104659-07-031354.txt', 'edgar/data/320193/0001104659-07-031354-index.html']
['320193', 'APPLE INC', '8-K', '2007-05-16', 'edgar/data/320193/0001104659-07-040672.txt', 'edgar/data/320193/0001104659-07-040672-index.html']
['320193', 'APPLE INC', 'CORRESP', '2007-04-24', 'edgar/data/320193/0001104659-07-031008.txt', 'edgar/data/320193/0001104659-07-031008-index.html']
['320193', 'APPLE INC', 'CORRESP', '2007-05-21', 'edgar/data/320193/0001104659-07-041872.txt', 'edgar/data/320193/0001104659-07-041872-index.html']
['320193', 'APPLE INC', 'DEF 14A', '2007-04-16', 'edgar/data/320193/0001104659-07-028382.txt', 'edgar/data/320193/0001104659-07-028382-index.html']
['320193', 'APPLE INC', 'PX14A6G', '2007-04-26', 'edgar/data/320193/0000884541-07-000003.txt', 'edgar/data/320193/0000884541-07-000003-index.html']
['320193', 'APPLE INC', 'SC TO-I/A', '2007-04-17', 'edgar/data/320193/0001104659-07-028681.txt', 'edgar/data/320193/0001104659-07-028681-index.html']
['320193', 'APPLE INC', 'UPLOAD', '2007-04-12', 'edgar/data/320193/0000000000-07-018270.txt', 'edgar/data/320193/0000000000-07-018270-index.html']
['320193', 'APPLE INC', 'UPLOAD', '2007-05-08', 'edgar/data/320193/0000000000-07-023114.txt', 'edgar/data/320193/0000000000-07-023114-index.html']
['320193', 'APPLE INC', 'UPLOAD', '2007-06-15', 'edgar/data/320193/0000000000-07-029517.txt', 'edgar/data/320193/0000000000-07-029517-index.html']
['320193', 'APPLE INC', '10-Q', '2007-08-08', 'edgar/data/320193/0001104659-07-059873.txt', 'edgar/data/320193/0001104659-07-059873-index.html']
['320193', 'APPLE INC', '4', '2007-08-01', 'edgar/data/320193/0001181431-07-048842.txt', 'edgar/data/320193/0001181431-07-048842-index.html']
['320193', 'APPLE INC', '4', '2007-08-01', 'edgar/data/320193/0001181431-07-048845.txt', 'edgar/data/320193/0001181431-07-048845-index.html']
['320193', 'APPLE INC', '4', '2007-08-01', 'edgar/data/320193/0001181431-07-048846.txt', 'edgar/data/320193/0001181431-07-048846-index.html']
['320193', 'APPLE INC', '4', '2007-08-01', 'edgar/data/320193/0001181431-07-048852.txt', 'edgar/data/320193/0001181431-07-048852-index.html']
['320193', 'APPLE INC', '4', '2007-08-01', 'edgar/data/320193/0001181431-07-048855.txt', 'edgar/data/320193/0001181431-07-048855-index.html']
['320193', 'APPLE INC', '4', '2007-08-01', 'edgar/data/320193/0001181431-07-048856.txt', 'edgar/data/320193/0001181431-07-048856-index.html']
['320193', 'APPLE INC', '4', '2007-08-01', 'edgar/data/320193/0001181431-07-048858.txt', 'edgar/data/320193/0001181431-07-048858-index.html']
['320193', 'APPLE INC', '4', '2007-08-07', 'edgar/data/320193/0001181431-07-050541.txt', 'edgar/data/320193/0001181431-07-050541-index.html']
['320193', 'APPLE INC', '4', '2007-08-07', 'edgar/data/320193/0001181431-07-050543.txt', 'edgar/data/320193/0001181431-07-050543-index.html']
